Accession Number,Organism,Type Material,Annotated As Type,Isolate,Specimen Voucher,Geo Loc Name,Collection Date,Collected By,Fwd Primer,Rev Primer,Note,MyCoPortal Number
JX855950,Calonectria pentaseptata,"culture from holotype of Calonectria
                     pentaseptata",Yes,,,,,,,,NCBI type_material qualifier,
GQ280640,Calonectria pini,type material of Calonectria pini,Yes,,,,,,,,NCBI type_material qualifier,
KY653271,Calonectria plurilateralis,"culture from holotype of Calonectria
                     plurilateralis",Yes,,,Ecuador,,,,,NCBI type_material qualifier,
KY653272,Calonectria pluriramosa,"culture from holotype of Calonectria
                     pluriramosa",Yes,,,China,,,,,NCBI type_material qualifier,
GQ280666,Calonectria polizzii,"culture from holotype of Calonectria
                     polizzii",Yes,,,,,,,,NCBI type_material qualifier,
GQ280667,Calonectria polizzii,"culture from holotype of Calonectria
                     polizzii",Yes,,,,,,,,NCBI type_material qualifier,
KY653273,Calonectria pseudoecuadoriae,"culture from holotype of Calonectria
                     pseudoecuadoriae",Yes,,,Ecuador,,,,,NCBI type_material qualifier,
KF815094,Calonectria pseudonaviculata,"culture from holotype of Cylindrocladium
                     pseudonaviculatum",Yes,,,Belgium,2001,,,,NCBI type_material qualifier,
MT359806,Calonectria pseudonaviculata,"culture from holotype of Cylindrocladium
                     pseudonaviculatum",Yes,,,New Zealand,,,,,NCBI type_material qualifier,
MH854962,Calonectria pseudopteridis,"culture from holotype of Cylindrocladium
                     macrosporum",Yes,,,USA: Florida,,,,,NCBI type_material qualifier,
MT359808,Calonectria pseudopteridis,"culture from holotype of Cylindrocladium
                     macrosporum",Yes,,,USA,,C.D. Sherbakoff,,,NCBI type_material qualifier,
GQ280613,Calonectria pseudoreteaudii,"type material of Calonectria
                     pseudoreteaudii",Yes,,,,,,,,NCBI type_material qualifier,
GQ280614,Calonectria pseudoreteaudii,"type material of Calonectria
                     pseudoreteaudii",Yes,,,,,,,,NCBI type_material qualifier,
GQ280644,Calonectria pseudoscoparia,"culture from holotype of Calonectria
                     pseudoscoparia",Yes,,,,,,,,NCBI type_material qualifier,
MH863471,Calonectria pseudoscoparia,"type material of Calonectria
                     pseudoscoparia",Yes,,,Ecuador,,,,,NCBI type_material qualifier,
MH863472,Calonectria pseudoscoparia,"type material of Calonectria
                     pseudoscoparia",Yes,,,Ecuador,,,,,NCBI type_material qualifier,
GQ280615,Calonectria pseudospathiphylli,"culture from holotype of Calonectria
                     pseudospathiphylli",Yes,,,,,,,,NCBI type_material qualifier,
KY653276,Calonectria pseudouxmalensis,"culture from holotype of Calonectria
                     pseudouxmalensis",Yes,,,Mexico,,,,,NCBI type_material qualifier,
GQ280616,Calonectria pteridis,"culture from holotype of Calonectria
                     pteridis",Yes,,,,,,,,NCBI type_material qualifier,
AF261733,Calonectria pteridis,"culture from holotype of Calonectria
                     pteridis",Yes,,,,,,,,NCBI type_material qualifier,
KY653277,Calonectria putriramosa,"culture from holotype of Calonectria
                     putriramosa",Yes,,,Brazil,,,,,NCBI type_material qualifier,
GQ280618,Calonectria queenslandica,"culture from holotype of Calonectria
                     queenslandica",Yes,,,,,,,,NCBI type_material qualifier,
MT359828,Calonectria queenslandica,"culture from holotype of Calonectria
                     queenslandica",Yes,,,Australia,,B. Brown,,,NCBI type_material qualifier,
MT359831,Calonectria reteaudii,"culture from neotype of Neonectria
                     reteaudii",Yes,,,Viet Nam,,M.J. Dudzinski,,,NCBI type_material qualifier,
GQ280620,Calonectria reteaudii,"culture from neotype of Neonectria
                     reteaudii",Yes,,,,,,,,NCBI type_material qualifier,
AF231971,Calonectria rumohrae,"culture from holotype of Calonectria
                     rumohrae",Yes,,,,,,,,NCBI type_material qualifier,
GQ280622,Calonectria rumohrae,"culture from holotype of Calonectria
                     rumohrae",Yes,,,,,,,,NCBI type_material qualifier,
KY653279,Calonectria seminaria,"culture from holotype of Calonectria
                     seminaria",Yes,,,China,,,,,NCBI type_material qualifier,
MW883409,Calonectria singaporensis,"culture from holotype of Calonectria
                     singaporensis",Yes,,,Singapore,,C. Decock,,,NCBI type_material qualifier,
GQ280627,Calonectria spathiphylli,"culture from holotype of Calonectria
                     spathiphylli",Yes,,,,,,,,NCBI type_material qualifier,
AF348246,Calonectria spathiphylli,"culture from holotype of Calonectria
                     spathiphylli",Yes,,,,,,,,NCBI type_material qualifier,
KY653280,Calonectria stipitata,"culture from holotype of Calonectria
                     stipitata",Yes,,,Colombia,,,,,NCBI type_material qualifier,
MH863470,Calonectria sulawesiensis,"type material of Calonectria
                     sulawesiensis",Yes,,,Indonesia,,,,,NCBI type_material qualifier,
MH863466,Calonectria sulawesiensis,"type material of Calonectria
                     sulawesiensis",Yes,,,Indonesia,,,,,NCBI type_material qualifier,
MT359843,Calonectria sumatrensis,"culture from holotype of Cylindrocladium
                     sumatrense",Yes,,,Indonesia,,M.J. Wingfield,,,NCBI type_material qualifier,
GQ280654,Calonectria sumatrensis,"culture from holotype of Cylindrocladium
                     sumatrense",Yes,,,,,,,,NCBI type_material qualifier,
GQ280656,Calonectria terrae-reginae,"culture from holotype of Calonectria
                     terrae-reginae",Yes,,,,,,,,NCBI type_material qualifier,
KY653282,Calonectria tetraramosa,"culture from holotype of Calonectria
                     tetraramosa",Yes,,,China,,,,,NCBI type_material qualifier,
KY653284,Calonectria tropicalis,"culture from holotype of Calonectria
                     tropicalis",Yes,,,Brazil,,,,,NCBI type_material qualifier,
