Accession Number,Organism,Type Material,Annotated As Type,Isolate,Specimen Voucher,Geo Loc Name,Collection Date,Collected By,Fwd Primer,Rev Primer,Note,MyCoPortal Number
OR750694,Ophiocordyceps maybankeae,holotype of Ophiocordyceps maybankeae,Yes,,,Australia: New South Wales,,,,,NCBI type_material qualifier,
MH754731,Ophiocordyceps mosingtoensis,"culture from holotype of Ophiocordyceps
                     mosingtoensis",Yes,,,,,,,,NCBI type_material qualifier,
PV170897,Ophiocordyceps muscae,"culture from holotype of Ophiocordyceps
                     muscae",Yes,,,Thailand,09-Jul-2014,,,,NCBI type_material qualifier,
PQ423676,Ophiocordyceps muscidarum,holotype of Ophiocordyceps muscidarum,Yes,,HKAS 132178,China,14-Aug-2023,,,,NCBI type_material qualifier,
PQ423674,Ophiocordyceps neocommunis,holotype of Ophiocordyceps neocommunis,Yes,,HKAS 132236,China,18-Jun-2023,,,,NCBI type_material qualifier,
KX197239,Ophiocordyceps neonutans,"culture from type material of
                     Ophiocordyceps neonutans",Yes,,KEL113,Brazil,10-Mar-2014,Raquel Friedrich,,,NCBI type_material qualifier,
OQ641807,Ophiocordyceps philippinensis,holotype of Ophiocordyceps philippinensis,Yes,,,,,,,,NCBI type_material qualifier,
MT783958,Ophiocordyceps phuwiangensis,"culture from holotype of Ophiocordyceps
                     phuwiangensis",Yes,,,Thailand,,,,,NCBI type_material qualifier,
OR167124,Ophiocordyceps poecilometigena,"holotype of Ophiocordyceps
                     poecilometigena",Yes,,BRIP 62634a,"Australia: Queensland, Lacey Creek",,,,,NCBI type_material qualifier,
MH754733,Ophiocordyceps pseudocommunis,"culture from holotype of Ophiocordyceps
                     pseudocommunis",Yes,,,,,,,,NCBI type_material qualifier,
MH754721,Ophiocordyceps pseudorhizoidea,"culture from holotype of Ophiocordyceps
                     pseudorhizoidea",Yes,,,,,,,,NCBI type_material qualifier,
KJ028011,Ophiocordyceps ramosissimum,holotype of Ophiocordyceps ramosissimum,Yes,,MFLU12-2165,China,08-Oct-2011,,,,NCBI type_material qualifier,
KY415594,Ophiocordyceps retorta,holotype of Ophiocordyceps retorta,Yes,,GZUIFR-lgs2,China,12-Aug-2010,,,,NCBI type_material qualifier,
KY415595,Ophiocordyceps retorta,holotype of Ophiocordyceps retorta,Yes,,GZUIFR-lgs2,China,12-Aug-2010,,,,NCBI type_material qualifier,
MH725817,Ophiocordyceps sporangifera,holotype of Ophiocordyceps sporangifera,Yes,,MFLU 18-0658,Thailand,18-Jul-2015,Yuanpin Xiao,,,NCBI type_material qualifier,
MH725818,Ophiocordyceps sporangifera,"culture from holotype of Ophiocordyceps
                     sporangifera",Yes,,MFLUCC 18-0492,Thailand,18-Jul-2015,Yuanpin Xiao,,,NCBI type_material qualifier,
PV170901,Ophiocordyceps tabani,"culture from holotype of Ophiocordyceps
                     tabani",Yes,,,Thailand,04-Nov-2010,,,,NCBI type_material qualifier,
MH754724,Ophiocordyceps termiticola,"culture from holotype of Ophiocordyceps
                     termiticola",Yes,,,,,,,,NCBI type_material qualifier,
MW285722,Ophiocordyceps tessaratomidarum,"holotype of Ophiocordyceps
                     tessaratomidarum",Yes,MY10830,BBH41196,Thailand,,,,,NCBI type_material qualifier,
MF362991,Ophiocordyceps thanathonensis,holotype of Ophiocordyceps thanathonensis,Yes,,,Thailand,18-Jul-2015,Yuanpin Xiao,,,NCBI type_material qualifier,
PV170903,Ophiocordyceps thilosuensis,"culture from holotype of Ophiocordyceps
                     thilosuensis",Yes,,,Thailand,25-Nov-2010,,,,NCBI type_material qualifier,
PP951446,Ophiocordyceps tielingensis,holotype of Ophiocordyceps tielingensis,Yes,,HKAS135612,,15-Aug-2023,,,,NCBI type_material qualifier,
KC631802,Ophiocordyceps xuefengensis,holotype of Ophiocordyceps xuefengensis,Yes,,GZUH2012HN14,China: Hunan,20-Oct-2012,,,,NCBI type_material qualifier,
JX570889,Ophiodiaporthe cyatheae,holotype of Ophiodiaporthe cyatheae,Yes,YMJ 1364,HAST 1364,Taiwan,09-Feb-2011,C.H. Fu,,,NCBI type_material qualifier,
KJ412999,Ophiognomonia acadiensis,type material of Ophiognomonia acadiensis,Yes,,DAOM:242791,"Canada: Basin Rd, Lepreau, NB",06-Aug-2013,A.K. Walker,,,NCBI type_material qualifier,
JQ414243,Ophiognomonia alni-cordatae,holotype of Ophiognomonia alni-cordatae,Yes,,BPI 882233,Japan,,,,,NCBI type_material qualifier,
JQ414287,Ophiognomonia apiospora,holotype of Ophiognomonia apiospora,Yes,,BPI 879601,China,,,,,NCBI type_material qualifier,
JQ414286,Ophiognomonia apiospora,holotype of Ophiognomonia apiospora,Yes,,BPI 879601,China,,,,,NCBI type_material qualifier,
JQ414241,Ophiognomonia asiatica,holotype of Ophiognomonia asiatica,Yes,,BPI 882231,Japan,,,,,NCBI type_material qualifier,
EU254870,Ophiognomonia balsamiferae,"culture from holotype of Ophiognomonia
                     balsamiferae",Yes,,BPI 877606,Canada: BC,,,,,NCBI type_material qualifier,
JQ414230,Ophiognomonia cordicarpa,holotype of Ophiognomonia cordicarpa,Yes,,BPI 882217,Japan,,,,,NCBI type_material qualifier,
JQ414265,Ophiognomonia gardiennetii,holotype of Ophiognomonia gardiennetii,Yes,,BPI 882262,USA,,,,,NCBI type_material qualifier,
JQ414246,Ophiognomonia gunmensis,holotype of Ophiognomonia gunmensis,Yes,,BPI 882236,Japan,,,,,NCBI type_material qualifier,
JQ414264,Ophiognomonia hiawathae,holotype of Ophiognomonia hiawathae,Yes,,BPI 882261,USA,,,,,NCBI type_material qualifier,
JQ414257,Ophiognomonia ibarakiensis,holotype of Ophiognomonia ibarakiensis,Yes,,BPI 882247,Japan,,,,,NCBI type_material qualifier,
JQ414245,Ophiognomonia japonica,holotype of Ophiognomonia japonica,Yes,,BPI 882235,Japan,,,,,NCBI type_material qualifier,
JQ414242,Ophiognomonia kobayashii,holotype of Ophiognomonia kobayashii,Yes,,BPI 882232,Japan,,,,,NCBI type_material qualifier,
JQ414277,Ophiognomonia lenticulispora,holotype of Ophiognomonia lenticulispora,Yes,,BPI 882287,USA,,,,,NCBI type_material qualifier,
JQ414249,Ophiognomonia longispora,holotype of Ophiognomonia longispora,Yes,,BPI 882239,Japan,,,,,NCBI type_material qualifier,
JQ414248,Ophiognomonia maximowiczianae,holotype of Ophiognomonia maximowiczianae,Yes,,BPI 882238,Japan,,,,,NCBI type_material qualifier,
JQ414262,Ophiognomonia michiganensis,holotype of Ophiognomonia michiganensis,Yes,,BPI 882255,USA,,,,,NCBI type_material qualifier,
JQ414235,Ophiognomonia monticola,holotype of Ophiognomonia monticola,Yes,,BPI 882222,Japan,,,,,NCBI type_material qualifier,
JQ414237,Ophiognomonia multirostrata,holotype of Ophiognomonia multirostrata,Yes,,BPI 882226,Japan,,,,,NCBI type_material qualifier,
JQ414256,Ophiognomonia naganoensis,holotype of Ophiognomonia naganoensis,Yes,,BPI 882246,Japan,,,,,NCBI type_material qualifier,
JQ414259,Ophiognomonia nipponicae,holotype of Ophiognomonia nipponicae,Yes,,BPI 882249,Japan,,,,,NCBI type_material qualifier,
JQ414282,Ophiognomonia ostryae-virginianae,"holotype of Ophiognomonia
                     ostryae-virginianae",Yes,,BPI 879596,USA,,,,,NCBI type_material qualifier,
JQ414244,Ophiognomonia otanii,holotype of Ophiognomonia otanii,Yes,,BPI 882234,Japan,,,,,NCBI type_material qualifier,
EU254923,Ophiognomonia pseudoclavulata,"culture from holotype of Ophiognomonia
                     pseudoclavulata",Yes,,BPI 844280,USA: PA,,,,,NCBI type_material qualifier,
EU254919,Ophiognomonia pseudoischnostyla,"holotype of Ophiognomonia
                     pseudoischnostyla",Yes,,BPI 877616,Russia: Tver Oblast,,,,,NCBI type_material qualifier,
JQ414250,Ophiognomonia pterocaryae,holotype of Ophiognomonia pterocaryae,Yes,,BPI 882240,Japan,,,,,NCBI type_material qualifier,
JQ414224,Ophiognomonia quercus-gambellii,epitype of Gnomonia quercus-gambellii,Yes,,BPI 882202,USA,,,,,NCBI type_material qualifier,
JQ414229,Ophiognomonia sogonovii,holotype of Ophiognomonia sogonovii,Yes,,BPI 882214,Japan,,,,,NCBI type_material qualifier,
JQ414278,Ophiognomonia tucumanensis,holotype of Ophiognomonia tucumanensis,Yes,,BPI 882288,Argentina,,,,,NCBI type_material qualifier,
EU254977,Ophiognomonia vasiljevae,"culture from holotype of Ophiognomonia
                     vasiljevae",Yes,,BPI 877671,USA: TN,,,,,NCBI type_material qualifier,
KM231788,Ophionectria trichospora,type material of Nectria trichospora,Yes,,,Jamaica,,R.P. Korf,,,NCBI type_material qualifier,
KY131767,Ophioparma pruinosa,type material of Ophioparma pruinosa,Yes,,15-49762,"China: Yunnan Prov., Xianggelila Co.",,Lisong Wang et al.,,,NCBI type_material qualifier,
KX767088,Ophiosphaerella aquatica,"culture from holotype of Ophiosphaerella
                     aquatica",Yes,,,Thailand: ChiangRa,22-Nov-2013,,,,NCBI type_material qualifier,
OR225063,Ophiosphaerella karsti,holotype of Ophiosphaerella karsti,Yes,,GZAAS 19-4021,China,08-Jul-2015,Haiyan Ran,,,NCBI type_material qualifier,
PQ374212,Ophiosphaerella oryzae,"culture from holotype of Ophiosphaerella
                     oryzae",Yes,,,Thailand,,Sahar Absalan,,,NCBI type_material qualifier,
MT321801,Ophiosphaerella taiwanensis,"culture from holotype of Ophiosphaerella
                     taiwanensis",Yes,NCYUCC 19-0152,,Taiwan,15-Aug-2018,Danushka Tennakoon,,,NCBI type_material qualifier,
MN082417,Ophiosphaerella taiwanica,"culture from holotype of Ophiosphaerella
                     taiwanica",Yes,,,,,,,,NCBI type_material qualifier,
MH555894,Ophiostoma aggregatum,holotype of Ophiostoma aggregatum,Yes,CXY1876,,China,,,,,NCBI type_material qualifier,
MH325146,Ophiostoma aggregatum,holotype of Ophiostoma aggregatum,Yes,CXY1876,,China,,,,,NCBI type_material qualifier,
KU094682,Ophiostoma ainoae,"culture from holotype of Ophiostoma
                     ainoae",Yes,CMW 1037,,Norway,,,,,NCBI type_material qualifier,
KU184416,Ophiostoma ainoae,type material of Ophiostoma ainoae,Yes,,,,,,,,NCBI type_material qualifier,
OM501463,Ophiostoma ainoae,type material of Ophiostoma ainoae,Yes,CMW1037,,,,,,,NCBI type_material qualifier,
MH861571,Ophiostoma ainoae,"culture from holotype of Ophiostoma
                     ainoae",Yes,,,Norway,,,,,NCBI type_material qualifier,
KY094073,Ophiostoma album,culture from holotype of Ophiostoma album,Yes,,,China,,,,,NCBI type_material qualifier,
PP656996,Ophiostoma altaiense,"culture from holotype of Ophiostoma
                     altaiense",Yes,CFCC57840,,China,,,,,NCBI type_material qualifier,
KU184418,Ophiostoma araucariae,"culture from holotype of Ceratocystis
                     araucariae",Yes,,,,,,,,NCBI type_material qualifier,
AY573241,Ophiostoma arduennense,"culture from holotype of Ophiostoma
                     arduennense",Yes,,MUCL 44866,Belgium,,,,,NCBI type_material qualifier,
KU184419,Ophiostoma arduennense,"culture from holotype of Ophiostoma
                     arduennense",Yes,,,,,,,,NCBI type_material qualifier,
PP656970,Ophiostoma armandii,"culture from holotype of Ophiostoma
                     armandii",Yes,CFCC57737,,China,,,,,NCBI type_material qualifier,
PV350324,Ophiostoma babimostense,"culture from holotype of Ophiostoma
                     babimostense",Yes,,,Poland,Oct-2023,Robert Jankowiak,,,NCBI type_material qualifier,
KU094684,Ophiostoma brunneolum,holotype of Ophiostoma brunneolum,Yes,CMW 23143,,Russia,,,,,NCBI type_material qualifier,
KU184423,Ophiostoma brunneum,reference material of Ophiostoma brunneum,Yes,,,,,,,,NCBI type_material qualifier,
AY924381,Ophiostoma brunneum,reference material of Ophiostoma brunneum,Yes,,,,,,,,NCBI type_material qualifier,
MH858009,Ophiostoma brunneum,reference material of Ophiostoma brunneum,Yes,,,USA: Colorado,,,,,NCBI type_material qualifier,
MH869567,Ophiostoma brunneum,reference material of Ophiostoma brunneum,Yes,,,USA: Colorado,,,,,NCBI type_material qualifier,
OM501473,Ophiostoma brunneum,reference material of Ophiostoma brunneum,Yes,CMW1027,,,,,,,NCBI type_material qualifier,
PP656972,Ophiostoma daofuense,"culture from holotype of Ophiostoma
                     daofuense",Yes,CFCC57746,,China,,,,,NCBI type_material qualifier,
MH863379,Ophiostoma denticiliatum,type material of Ophiostoma denticiliatum,Yes,,,Norway,,,,,NCBI type_material qualifier,
MH863378,Ophiostoma denticiliatum,type material of Ophiostoma denticiliatum,Yes,,,Norway,,,,,NCBI type_material qualifier,
KX590816,Ophiostoma denticulatum,"culture from type material of Ophiostoma
                     denticulatum",Yes,,,,,,,,NCBI type_material qualifier,
KU184426,Ophiostoma distortum,"culture from holotype of Ceratocystis
                     distorta",Yes,,,,,,,,NCBI type_material qualifier,
AY924386,Ophiostoma distortum,"culture from holotype of Ceratocystis
                     distorta",Yes,,,,,,,,NCBI type_material qualifier,
MH861510,Ophiostoma distortum,"culture from holotype of Ceratocystis
                     distorta",Yes,,,USA: Arizona,,,,,NCBI type_material qualifier,
MH861572,Ophiostoma flexuosum,"culture from holotype of Ophiostoma
                     flexuosum",Yes,,,Norway,,,,,NCBI type_material qualifier,
OM501482,Ophiostoma flexuosum,holotype of Ophiostoma flexuosum,Yes,CMW907,,,,,,,NCBI type_material qualifier,
AY924387,Ophiostoma flexuosum,"culture from holotype of Ophiostoma
                     flexuosum",Yes,,,,,,,,NCBI type_material qualifier,
KU184427,Ophiostoma flexuosum,holotype of Ophiostoma flexuosum,Yes,,,,,,,,NCBI type_material qualifier,
HM031504,Ophiostoma fuscum,"culture from paratype of Ophiostoma
                     fuscum",Yes,CMW23196,,Finland,,,,,NCBI type_material qualifier,
MT637227,Ophiostoma gilletteae,"culture from holotype of Ophiostoma
                     gilletteae",Yes,,,,,,,,NCBI type_material qualifier,
MW581495,Ophiostoma gmelinii,"culture from holotype of Ophiostoma
                     gmelinii",Yes,CMW40463,,,,,,,NCBI type_material qualifier,
PP656973,Ophiostoma hongshiense,"culture from holotype of Ophiostoma
                     hongshiense",Yes,CFCC57749,,China,,,,,NCBI type_material qualifier,
MZ328850,Ophiostoma huangnanense,"culture from holotype of Ophiostoma
                     huangnanense",Yes,,,,,,,,NCBI type_material qualifier,
PP656989,Ophiostoma jingoulingense,"culture from holotype of Ophiostoma
                     jingoulingense",Yes,CFCC57826,,China,,,,,NCBI type_material qualifier,
AY304436,Ophiostoma kryptum,"culture from holotype of Ophiostoma
                     kryptum",Yes,,,,,,,,NCBI type_material qualifier,
EF408558,Ophiostoma longiconidiatum,"culture from holotype of Ophiostoma
                     longiconidiatum",Yes,CMW17574,,South Africa,,,,,NCBI type_material qualifier,
MZ328852,Ophiostoma maixiuense,"culture from holotype of Ophiostoma
                     maixiuense",Yes,,,,,,,,NCBI type_material qualifier,
OM501496,Ophiostoma micans,"culture from holotype of Ophiostoma
                     micans",Yes,CMW38903,,,,,,,NCBI type_material qualifier,
KU184432,Ophiostoma micans,"culture from holotype of Ophiostoma
                     micans",Yes,,,,,,,,NCBI type_material qualifier,
PP656974,Ophiostoma miyingense,"culture from holotype of Ophiostoma
                     miyingense",Yes,CFCC57753,,China,,,,,NCBI type_material qualifier,
AY934512,Ophiostoma multiannulatum,"culture from type material of Ophiostoma
                     multiannulatum",Yes,,,,,,,,NCBI type_material qualifier,
KU184434,Ophiostoma nikkoense,"culture from holotype of Ophiostoma
                     nikkoense",Yes,,,,,,,,NCBI type_material qualifier,
OM501500,Ophiostoma nikkoense,"culture from holotype of Ophiostoma
                     nikkoense",Yes,CMW17193,,,,,,,NCBI type_material qualifier,
OM501501,Ophiostoma nitidum,"culture from holotype of Ophiostoma
                     nitidum",Yes,CMW38907,,,,,,,NCBI type_material qualifier,
KU184437,Ophiostoma nitidum,"culture from holotype of Ophiostoma
                     nitidum",Yes,,,,,,,,NCBI type_material qualifier,
KT362252,Ophiostoma novae-zelandiae,"culture from holotype of Ceratocystis
                     novae-zelandiae",Yes,,UAMH9559,New Zealand,,,,,NCBI type_material qualifier,
MH862812,Ophiostoma novo-ulmi subsp. americana,"isotype of Ophiostoma novo-ulmi subsp.
                     americana",Yes,,,USA: Wisconsin,,,,,NCBI type_material qualifier,
PP656990,Ophiostoma nyangense,"culture from holotype of Ophiostoma
                     nyangense",Yes,CFCC57830,,China,,,,,NCBI type_material qualifier,
PP657005,Ophiostoma pacis,culture from holotype of Ophiostoma pacis,Yes,CFCC57849,,China,,,,,NCBI type_material qualifier,
HM031510,Ophiostoma pallidulum,type material of Ophiostoma pallidulum,Yes,CMW23278,,Finland,,,,,NCBI type_material qualifier,
KU865593,Ophiostoma palustre,"culture from holotype of Ophiostoma
                     palustre",Yes,,,,24-Jun-2014,,,,NCBI type_material qualifier,
KT362244,Ophiostoma patagonicum,"culture from holotype of Ophiostoma
                     patagonicum",Yes,,CIEFAP431,Argentina,,,,,NCBI type_material qualifier,
OM501505,Ophiostoma patagonicum,"culture from holotype of Ophiostoma
                     patagonicum",Yes,CMW38089,,,,,,,NCBI type_material qualifier,
MF576438,Ophiostoma pehueninum,"culture from holotype of Ophiostoma
                     pehueninum",Yes,,INIA<CHL>:RGM 2389,Chile: Alto Bio Bio,16-Jun-2016,V. Sepulveda,,,NCBI type_material qualifier,
MG345116,Ophiostoma peregrinum,holotype of Ophiostoma peregrinum,Yes,AE426,BAFC4503,Argentina,,,,,NCBI type_material qualifier,
KU184441,Ophiostoma piceae,"culture from holotype of Ophiostoma
                     piceae",Yes,,,,,,,,NCBI type_material qualifier,
OM397409,Ophiostoma piliferi (nom. inval.),reference material of Ophiostoma piliferi,Yes,CXY4048,,China,,,,,NCBI type_material qualifier,
MH837046,Ophiostoma pityokteinis,"culture from holotype of Ophiostoma
                     pityokteinis",Yes,,,Poland,17-Jun-2013,Piotr Majka,,,NCBI type_material qualifier,
