accession,organism,suspected_status,confidence,evidence_source,evidence_text,voucher,refseq_source_accession,source_accession_in_mycomap_list,dikarya_jobs_containing,example_tip_label,ncbi_url
NR_198293,Hygrophorus fragilipurpurascens,holotype,high,GenBank /type_material qualifier,holotype of Hygrophorus fragilipurpurascens,GDGM:44332,OP547632,yes,1,NR_198293.1 Hygrophorus fragilipurpurascens specimen_voucher GDGM:44332 China holotype Hygrophorus fragilipurpurascens,https://www.ncbi.nlm.nih.gov/nuccore/NR_198293
NR_198300,Hygrophorus sichuanensis,holotype,high,GenBank /type_material qualifier,holotype of Hygrophorus sichuanensis,GDGM:84471,OP547699,yes,1,NR_198300 Hygrophorus sichuanensis GDGM:84471 China,https://www.ncbi.nlm.nih.gov/nuccore/NR_198300
NR_198303,Hygrophorus fuscodiscus,holotype,high,GenBank /type_material qualifier,holotype of Hygrophorus fuscodiscus,GDGM:84677,OP547723,yes,1,NR_198303 Hygrophorus fuscodiscus GDGM:84677 China,https://www.ncbi.nlm.nih.gov/nuccore/NR_198303
NR_198305,Hygrophorus pseudodiscoideus,holotype,high,GenBank /type_material qualifier,holotype of Hygrophorus pseudodiscoideus,HMAS:277088,OP547744,yes,1,NR_198305.1 Hygrophorus pseudodiscoideus specimen_voucher HMAS:277088 China holotype Hygrophorus pseudodiscoideus,https://www.ncbi.nlm.nih.gov/nuccore/NR_198305
NR_198311,Camillea heterostomoides,holotype,high,GenBank /type_material qualifier,holotype of Camillea heterostomoides,HAST:145960,OP595160,yes,1,NR_198311 Camillea heterostomoides HAST:145960 French Guiana,https://www.ncbi.nlm.nih.gov/nuccore/NR_198311
NR_198313,Tremellochaete australiensis,holotype,high,GenBank /type_material qualifier,holotype of Tremellochaete australiensis,BJFC:027132,OP605377,yes,1,NR_198313 Tremellochaete australiensis BJFC:027132 Australia,https://www.ncbi.nlm.nih.gov/nuccore/NR_198313
NR_198316,Leucoagaricus glareicolor,holotype,high,GenBank /type_material qualifier,holotype of Leucoagaricus glareicolor,LAH:37456,OP605605,yes,1,NR_198316 Leucoagaricus glareicolor LAH:37456 Pakistan,https://www.ncbi.nlm.nih.gov/nuccore/NR_198316
NR_198317,Clitocybe tomentosa,holotype,high,GenBank /type_material qualifier,holotype of Clitocybe tomentosa,HKAS:123097,OP626919,yes,1,NR_198317 Clitocybe tomentosa HKAS:123097 Yunnan CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_198317
NR_198327,Collybia subtropica,holotype,high,GenBank /type_material qualifier,holotype of Collybia subtropica,HKAS:123124,OP626975,yes,1,NR_198327 Collybia subtropica HKAS:123124 Yunnan CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_198327
NR_198336,Marasmius centrocinnamomeus,holotype,high,GenBank /type_material qualifier,holotype of Marasmius centrocinnamomeus,SFC:20180704-02,OP730947,yes,1,NR_198336 Marasmius centrocinnamomeus SFC:20180704-02 South Korea,https://www.ncbi.nlm.nih.gov/nuccore/NR_198336
NR_198337,Marasmius ferrugineodiscus,holotype,high,GenBank /type_material qualifier,holotype of Marasmius ferrugineodiscus,SFC:20160714-57,OP730950,yes,1,NR_198337 Marasmius ferrugineodiscus SFC:20160714-57 South Korea,https://www.ncbi.nlm.nih.gov/nuccore/NR_198337
NR_198355,Tuber mongolicum,holotype,high,GenBank /type_material qualifier,holotype of Tuber mongolicum,HMJAU:65125,OP902309,yes,1,NR_198355 Tuber mongolicum HMJAU:65125,https://www.ncbi.nlm.nih.gov/nuccore/NR_198355
NR_198372,Stereopsis yunnanensis,holotype,high,GenBank /type_material qualifier,holotype of Stereopsis yunnanensis,SWFC:CLZhao3767,OQ148431,yes,1,NR_198372 Stereopsis yunnanensis SWFC:CLZhao3767 China,https://www.ncbi.nlm.nih.gov/nuccore/NR_198372
